연번,이름 (Name),생년월일 (Date of Birth),성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),고객 세그먼트 (Customer Segment),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path)
120,김준서,1956-12-27,여,053-054-4830,hwangjeongsu@live.com,경기도 수원시 영통구 원천동 12-34,yeonghyi20,2023-04-21,신규,픽업트럭,Santa-Fe ™,2024-07-02,"80,170,000",현금,4,온라인
121,김현준,1966-12-07,남,031-524-7998,aan@naver.com,서울특별시 강남구 역삼동 123-45,miyeongbag,2023-10-09,신규,픽업트럭,Avante (CN7 N),2023-04-28,"66,410,000",현금,1,온라인
122,박숙자,1975-12-10,여,043-103-1064,bagjeongja@dreamwiz.com,경상남도 창원시 의창구 봉곡동 48-6,eunseogim,2023-08-21,신규,픽업트럭,Santa-Fe ™,2024-10-15,"57,200,000",신용카드,5,온라인
123,백준서,1970-11-29,여,070-7561-0121,seonyeong40@hotmail.com,대구광역시 수성구 범어동 55-3,gimyeongho,2023-09-13,일반,준중형 세단,NEXO (FE),2024-01-30,"67,180,000",계좌이체,2,오프라인
124,한성훈,1975-06-05,남,061-401-7797,ngim@hotmail.com,대전광역시 유성구 봉명동 44-2,qyun,2022-04-21,신규,소형 해치백,Santa-Fe ™,2025-03-06,"41,600,000",계좌이체,5,오프라인
125,이예원,1999-06-12,남,010-8572-3457,minseog64@ju.net,광주광역시 서구 치평동 14-7,ghwang,2023-11-07,신규,픽업트럭,G70 (IK),2024-10-14,"30,670,000",현금,5,온라인
126,최서현,1968-06-11,남,043-079-6245,yeongsun54@baemungim.com,부산광역시 해운대구 우동 101-12,gyeongjabae,2023-05-07,신규,픽업트럭,Santa-Fe ™,2023-08-09,"70,970,000",현금,3,온라인
127,박옥자,2002-12-16,여,011-710-3793,minseog78@yu.com,서울특별시 강남구 역삼동 123-45,iseonyeong,2023-11-04,이탈가능,대형 suv,Santa-Fe ™,2025-02-16,"64,360,000",계좌이체,4,온라인
128,김은서,1985-12-09,여,051-902-6026,bi@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,gimjuweon,2023-11-27,이탈가능,준대형 세단,NEXO (FE),2025-01-10,"36,230,000",계좌이체,5,온라인
129,이순옥,1964-09-11,여,018-247-9858,baghyeonju@isongwag.com,서울특별시 강남구 역삼동 123-45,sunogi,2024-07-07,일반,대형 suv,Santa-Fe ™,2023-04-25,"73,410,000",계좌이체,2,오프라인
130,이도윤,1960-12-31,남,062-301-2884,yeongjin28@gimsongo.com,대구광역시 수성구 범어동 55-3,sgweon,2022-08-17,일반,소형 해치백,Avante (CN7 N),2023-08-23,"73,150,000",신용카드,5,오프라인
131,서건우,1999-09-27,남,063-080-0548,fbag@nate.com,인천광역시 남동구 구월동 88-10,lcoe,2023-06-12,신규,준대형 세단,G70 (IK),2023-08-02,"62,270,000",현금,3,온라인
132,김영일,1978-06-04,남,070-1858-1107,sunja23@ju.org,충청북도 청주시 상당구 낙실동 9-1,fo,2022-08-30,신규,소형 해치백,G80 (RG3),2024-07-06,"37,090,000",현금,2,오프라인
133,박도현,1983-06-25,여,016-960-4239,lgim@bagju.com,인천광역시 남동구 구월동 88-10,gimjuweon,2025-02-27,신규,중형 suv,NEXO (FE),2024-08-21,"43,760,000",계좌이체,4,오프라인
134,황영순,1974-10-29,남,043-054-3941,seungminyun@ison.kr,인천광역시 남동구 구월동 88-10,wcoe,2023-06-10,일반,소형 해치백,Santa-Fe ™,2024-03-23,"35,610,000",계좌이체,2,오프라인
135,안성민,1972-09-22,남,041-954-0034,yeonggil75@ganggim.org,충청북도 청주시 상당구 낙실동 9-1,haeunju,2022-10-01,일반,준중형 세단,NEXO (FE),2024-03-25,"44,550,000",현금,4,오프라인
136,이현준,1973-03-28,남,041-298-3351,jeongung91@live.com,대전광역시 유성구 봉명동 44-2,xi,2025-01-27,vip,대형 suv,Avante (CN7 N),2023-10-10,"61,350,000",신용카드,5,온라인
137,김예지,1958-10-02,남,061-569-2767,coeboram@nate.com,충청북도 청주시 상당구 낙실동 9-1,yeonghwan93,2023-06-29,이탈가능,준대형 세단,NEXO (FE),2023-06-02,"69,890,000",계좌이체,2,온라인
138,이영길,1955-12-04,여,018-950-1292,hgim@naver.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-12-24,vip,소형 해치백,G70 (IK),2023-11-12,"30,220,000",현금,1,오프라인
139,이준호,1996-10-26,여,064-776-5924,sangceolgim@jusighoesa.com,울산광역시 남구 달동 23-5,miyeonggim,2024-03-08,신규,대형 suv,NEXO (FE),2023-11-30,"57,580,000",현금,3,오프라인
140,한성수,1959-04-25,여,062-160-6151,wyun@iim.net,경상남도 창원시 의창구 봉곡동 48-6,li,2022-07-16,이탈가능,준중형 세단,G80 (RG3),2023-06-08,"62,700,000",신용카드,2,오프라인
141,이명숙,1992-01-31,여,051-702-6616,songjaeho@gimi.com,인천광역시 남동구 구월동 88-10,jeonghyigim,2023-12-31,vip,준대형 세단,Avante (CN7 N),2023-09-23,"68,630,000",현금,5,온라인
142,김민석,2003-03-08,남,010-2372-0942,songjeonghyi@naver.com,충청북도 청주시 상당구 낙실동 9-1,gwangsuson,2022-10-08,신규,픽업트럭,NEXO (FE),2023-08-10,"85,970,000",신용카드,3,온라인
143,고수민,1996-02-24,남,053-176-4468,pi@ju.com,경상북도 포항시 남구 대도동 19-2,gimjihye,2024-08-05,일반,중형 suv,NEXO (FE),2024-09-17,"63,570,000",현금,1,온라인
144,서지훈,1969-07-24,남,055-054-3608,seosiu@hotmail.com,부산광역시 해운대구 우동 101-12,bagseongho,2022-07-19,일반,소형 해치백,Avante (CN7 N),2023-11-02,"32,550,000",현금,3,오프라인
145,김현우,1984-12-28,여,019-036-2316,hyeonju80@ju.kr,경기도 수원시 영통구 원천동 12-34,yheo,2024-12-16,vip,중형 suv,Avante (CN7 N),2024-09-27,"38,140,000",신용카드,5,오프라인
146,김영환,1957-03-08,여,044-214-8023,yeonghwani@dreamwiz.com,전라남도 목포시 부주동 77-8,sangceolhwang,2023-06-06,vip,픽업트럭,G70 (IK),2024-10-18,"88,650,000",신용카드,5,오프라인
147,이건우,1958-07-27,남,019-378-2527,minjungim@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,xgim,2022-08-20,일반,소형 해치백,Avante (CN7 N),2024-04-22,"47,730,000",신용카드,3,온라인
148,진윤서,1988-01-21,남,055-909-9267,oseong@yu.com,경기도 수원시 영통구 원천동 12-34,gimseongho,2023-11-04,일반,준대형 세단,Avante (CN7 N),2023-12-28,"88,470,000",신용카드,1,온라인
149,이영자,1982-09-28,여,031-256-0870,baghaeun@naver.com,경기도 성남시 분당구 정자동 56-78,jia75,2023-01-16,vip,준대형 세단,G70 (IK),2024-01-29,"83,840,000",현금,3,오프라인
150,최명자,2000-11-20,남,054-894-5954,gimseonghun@gimno.com,광주광역시 서구 치평동 14-7,caeweon09,2024-06-28,vip,준대형 세단,NEXO (FE),2023-11-26,"58,930,000",신용카드,1,온라인
151,류민석,1971-03-27,남,070-0215-2884,minji83@live.com,울산광역시 남구 달동 23-5,gimjihyeon,2022-10-13,vip,준중형 세단,G70 (IK),2024-01-01,"67,480,000",현금,5,오프라인
152,성정자,1988-10-08,남,062-574-9396,yeeun88@dreamwiz.com,울산광역시 남구 달동 23-5,imigyeong,2024-11-16,신규,픽업트럭,Santa-Fe ™,2023-10-12,"66,300,000",현금,4,온라인
153,이영환,1998-04-21,남,044-955-3033,yeongceol30@jusighoesa.kr,충청북도 청주시 상당구 낙실동 9-1,idoyun,2023-08-24,신규,소형 해치백,Santa-Fe ™,2023-11-03,"70,510,000",현금,1,온라인
154,이준영,2002-11-12,여,054-106-6090,mhwang@hanmail.net,서울특별시 강남구 역삼동 123-45,baggyeongsug,2025-01-20,일반,준대형 세단,Santa-Fe ™,2024-09-20,"67,020,000",현금,1,온라인
155,김경자,1962-11-22,여,053-945-9083,gimogja@gimgimbag.org,서울특별시 종로구 청운동 67-89,gojihye,2023-01-14,이탈가능,준대형 세단,G70 (IK),2023-12-21,"68,300,000",신용카드,4,온라인
156,이혜진,1956-05-07,여,016-543-6491,ycoe@dreamwiz.com,광주광역시 서구 치평동 14-7,jiweonmin,2024-06-10,일반,픽업트럭,G70 (IK),2023-03-14,"42,060,000",현금,5,온라인
157,곽옥순,2001-04-07,여,02-4743-0405,yujini@hotmail.com,대전광역시 유성구 봉명동 44-2,jihyeyun,2023-01-01,일반,소형 해치백,Avante (CN7 N),2024-01-01,"36,550,000",신용카드,3,오프라인
158,김시우,1981-02-03,남,051-416-1404,bagjiu@daum.net,전라남도 목포시 부주동 77-8,jihugim,2023-08-07,신규,중형 suv,Santa-Fe ™,2025-01-20,"84,370,000",계좌이체,2,오프라인
159,윤재호,1994-10-15,남,019-274-7240,pi@gimiheo.org,대구광역시 수성구 범어동 55-3,bagyeongsun,2022-06-15,일반,대형 suv,G80 (RG3),2023-10-13,"54,340,000",현금,2,온라인
160,강종수,1982-09-28,남,054-107-1543,seohyeonson@seoiha.com,대전광역시 유성구 봉명동 44-2,jihugim,2023-03-06,vip,준대형 세단,NEXO (FE),2024-07-26,"39,760,000",신용카드,1,온라인
161,성성수,1985-07-24,남,063-749-2202,yeonghwan20@gmail.com,충청북도 청주시 상당구 낙실동 9-1,mijeong41,2023-01-12,일반,준중형 세단,G80 (RG3),2023-12-15,"48,800,000",계좌이체,1,오프라인
162,정지혜,1968-12-19,남,064-782-9705,junseo28@daum.net,경기도 성남시 분당구 정자동 56-78,ggang,2023-07-10,이탈가능,중형 suv,Avante (CN7 N),2024-07-21,"79,230,000",계좌이체,2,온라인
163,손아름,1997-08-25,남,062-718-8934,ji@live.com,경상북도 포항시 남구 대도동 19-2,jinho57,2023-05-31,일반,대형 suv,NEXO (FE),2024-05-16,"38,860,000",현금,3,온라인
164,조성호,1985-05-11,여,061-222-9939,ygim@icoe.net,대구광역시 수성구 범어동 55-3,minjunheo,2023-10-06,일반,준중형 세단,Avante (CN7 N),2023-09-25,"53,910,000",계좌이체,3,온라인
165,김수민,2000-07-04,남,042-448-2472,hhwang@gimi.kr,경기도 수원시 영통구 원천동 12-34,kgang,2022-03-13,신규,픽업트럭,G80 (RG3),2023-03-27,"38,900,000",신용카드,1,온라인
166,김민준,1958-09-02,남,043-165-6918,qyun@daum.net,전라남도 목포시 부주동 77-8,jihyegim,2024-01-12,이탈가능,대형 suv,NEXO (FE),2023-12-25,"72,930,000",계좌이체,1,오프라인
167,이경숙,1997-01-22,여,063-318-8654,vseo@nate.com,충청남도 천안시 동남구 성성동 22-3,qcoe,2024-06-03,신규,준대형 세단,Avante (CN7 N),2023-10-20,"55,370,000",계좌이체,3,오프라인
168,황도윤,1976-06-02,남,011-361-9602,sugja86@hanmail.net,서울특별시 종로구 청운동 67-89,yeonghyigim,2023-03-25,이탈가능,중형 suv,NEXO (FE),2023-11-29,"65,540,000",계좌이체,2,오프라인
169,강영자,1956-03-06,여,043-795-5239,qyun@nate.com,충청북도 청주시 상당구 낙실동 9-1,lgim,2024-01-10,신규,준대형 세단,NEXO (FE),2025-01-31,"46,520,000",현금,5,오프라인
170,이지민,1989-10-30,여,032-829-9655,vgim@ju.net,경기도 성남시 분당구 정자동 56-78,imyeongsug,2022-07-27,신규,준대형 세단,G70 (IK),2024-01-19,"77,710,000",현금,1,온라인
171,남지연,1987-02-22,남,053-140-5696,minjae16@nate.com,경기도 수원시 영통구 원천동 12-34,hanyeongsig,2023-06-06,신규,준대형 세단,NEXO (FE),2023-04-22,"51,200,000",계좌이체,2,오프라인
172,이은서,1963-10-11,남,033-818-4794,gwangsugang@daum.net,서울특별시 강남구 역삼동 123-45,jiahan,2022-08-12,신규,준중형 세단,G70 (IK),2024-11-11,"79,370,000",계좌이체,1,오프라인
173,정예원,1971-07-20,여,044-883-9197,dgim@jigimryu.kr,경상북도 포항시 남구 대도동 19-2,sanghyeon96,2024-12-17,vip,소형 해치백,Avante (CN7 N),2023-10-08,"68,370,000",계좌이체,4,오프라인
174,신성현,1968-07-06,남,052-691-4844,ahwang@jusighoesa.net,광주광역시 서구 치평동 14-7,jihugang,2023-05-06,vip,픽업트럭,NEXO (FE),2024-12-28,"64,060,000",신용카드,5,오프라인
175,민정호,1969-08-16,여,041-291-9081,seongsugim@naver.com,전라남도 목포시 부주동 77-8,sumini,2025-03-04,이탈가능,대형 suv,G70 (IK),2023-05-21,"48,970,000",계좌이체,5,오프라인
176,박지원,1963-12-25,남,070-1378-2398,hayun60@live.com,경상남도 창원시 의창구 봉곡동 48-6,fseo,2024-08-25,일반,소형 해치백,G80 (RG3),2024-05-23,"72,510,000",현금,4,오프라인
177,김영자,1976-10-26,남,052-077-3080,jia19@yu.kr,전라남도 목포시 부주동 77-8,iyujin,2024-04-28,vip,대형 suv,NEXO (FE),2024-05-25,"31,010,000",계좌이체,4,오프라인
178,이서윤,1966-01-01,여,032-094-1834,ji@daum.net,서울특별시 강남구 역삼동 123-45,jeongsugyang,2023-03-14,vip,대형 suv,G70 (IK),2023-10-12,"35,130,000",현금,4,온라인
179,송지은,1954-07-31,여,031-194-0436,pcoe@daum.net,부산광역시 해운대구 우동 101-12,sugja08,2023-07-07,이탈가능,준대형 세단,G70 (IK),2024-10-29,"81,810,000",신용카드,4,온라인
180,이서연,1989-03-12,남,054-402-5332,gimjimin@dreamwiz.com,부산광역시 해운대구 우동 101-12,hyejinseo,2024-02-04,일반,준대형 세단,NEXO (FE),2023-12-05,"36,540,000",신용카드,3,온라인
181,김성호,1985-06-25,여,016-385-1242,ygim@hanmail.net,대구광역시 수성구 범어동 55-3,jia98,2022-08-04,이탈가능,소형 해치백,Santa-Fe ™,2024-03-02,"49,740,000",계좌이체,5,오프라인
182,홍정숙,1955-01-05,남,033-339-1865,minjae03@gmail.com,광주광역시 서구 치평동 14-7,jeongung32,2022-10-19,vip,소형 해치백,Santa-Fe ™,2024-04-25,"89,890,000",신용카드,5,오프라인
183,박혜진,1978-05-30,남,052-925-4265,idonghyeon@nate.com,서울특별시 종로구 청운동 67-89,sgim,2022-07-09,일반,중형 suv,G70 (IK),2023-12-11,"72,730,000",신용카드,1,오프라인
184,이정훈,1962-04-15,남,041-956-4884,wi@jangjono.org,경기도 수원시 영통구 원천동 12-34,gyeongjaeom,2023-09-10,이탈가능,대형 suv,Avante (CN7 N),2025-01-11,"34,880,000",현금,2,오프라인
185,이승현,1982-02-17,여,011-220-1097,sanghun90@yuhanhoesa.net,대전광역시 유성구 봉명동 44-2,yeongsig47,2024-08-01,vip,준중형 세단,Avante (CN7 N),2024-07-17,"54,290,000",신용카드,4,오프라인
186,박채원,1964-11-10,여,044-904-2678,qmun@nate.com,부산광역시 해운대구 우동 101-12,yejison,2022-11-07,이탈가능,대형 suv,Avante (CN7 N),2024-10-14,"72,600,000",계좌이체,1,온라인
187,김중수,1971-02-07,여,032-688-4921,jangyeongsun@seoian.org,울산광역시 남구 달동 23-5,doyun38,2023-12-31,일반,준대형 세단,NEXO (FE),2024-02-20,"73,080,000",현금,4,온라인
188,김영호,1999-07-28,여,061-009-2153,ogim@yu.kr,인천광역시 남동구 구월동 88-10,gimjeongsug,2022-09-21,vip,준중형 세단,Santa-Fe ™,2024-07-25,"75,840,000",신용카드,4,온라인
189,심동현,1999-01-19,여,070-6615-9710,kcoe@gmail.com,서울특별시 강남구 역삼동 123-45,yejun41,2024-07-23,일반,대형 suv,G70 (IK),2024-07-16,"76,370,000",현금,3,오프라인
190,박민석,1957-08-08,남,053-382-8342,gohyeonji@live.com,충청남도 천안시 동남구 성성동 22-3,wi,2023-02-15,신규,준중형 세단,G80 (RG3),2024-05-18,"59,640,000",계좌이체,2,온라인
191,김병철,1969-01-04,남,041-324-1120,vgang@jusighoesa.kr,서울특별시 종로구 청운동 67-89,seonghaeun,2023-12-08,이탈가능,준대형 세단,G70 (IK),2023-08-07,"83,300,000",계좌이체,2,온라인
192,서영길,1972-04-13,여,043-531-1236,hi@dreamwiz.com,대구광역시 수성구 범어동 55-3,pgo,2023-02-11,일반,소형 해치백,G80 (RG3),2023-11-03,"53,260,000",현금,5,온라인
193,홍현숙,1959-10-02,남,043-342-4176,jangjunhyeog@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,eunju52,2024-11-17,일반,픽업트럭,G80 (RG3),2024-10-16,"89,120,000",현금,4,오프라인
194,박아름,1956-10-06,남,051-791-2267,yejin22@gimcoe.org,전라남도 목포시 부주동 77-8,qryu,2022-07-16,vip,중형 suv,Santa-Fe ™,2023-12-28,"48,390,000",신용카드,2,온라인
195,김광수,1974-10-18,남,011-398-0609,yunogja@angim.com,대구광역시 수성구 범어동 55-3,zgim,2022-09-03,vip,중형 suv,NEXO (FE),2024-01-11,"36,880,000",신용카드,3,온라인
196,오민준,1988-05-29,남,064-731-2054,gimhyeonjeong@hwangbagryu.kr,울산광역시 남구 달동 23-5,yeonggil14,2024-08-13,이탈가능,소형 해치백,Santa-Fe ™,2025-02-28,"89,440,000",현금,1,온라인
197,김성현,1973-09-24,남,062-326-6677,gimseoyeong@yu.org,경기도 수원시 영통구 원천동 12-34,hayun28,2022-05-18,신규,중형 suv,G70 (IK),2025-03-05,"73,020,000",계좌이체,2,온라인
198,김예진,1990-01-15,남,042-517-0040,ji@hotmail.com,광주광역시 서구 치평동 14-7,songjeonghyi,2024-03-17,vip,소형 해치백,Avante (CN7 N),2024-05-16,"42,530,000",신용카드,1,온라인
199,손준호,1986-03-05,남,070-0150-7134,xgim@yu.kr,인천광역시 남동구 구월동 88-10,gimeunyeong,2023-03-05,일반,소형 해치백,G80 (RG3),2025-02-17,"68,170,000",현금,1,오프라인
200,최현우,1962-03-29,남,063-354-7740,jihyeongim@jusighoesa.kr,인천광역시 남동구 구월동 88-10,bagyujin,2024-02-19,신규,소형 해치백,Santa-Fe ™,2024-10-07,"63,320,000",계좌이체,5,오프라인
201,배재현,2001-12-02,여,054-708-1976,dbag@daum.net,경기도 수원시 영통구 원천동 12-34,hyeonju98,2024-02-29,일반,대형 suv,G70 (IK),2023-05-09,"83,360,000",현금,5,온라인
202,서지영,1964-07-21,여,044-741-1486,jihun48@ju.kr,충청남도 천안시 동남구 성성동 22-3,isujin,2023-03-16,vip,준중형 세단,G70 (IK),2023-10-08,"38,190,000",계좌이체,2,오프라인
203,김진호,2002-06-04,여,018-315-1577,gimhyeonjun@gimgo.net,부산광역시 해운대구 우동 101-12,haeunjo,2022-12-16,신규,픽업트럭,Santa-Fe ™,2023-06-16,"79,000,000",계좌이체,1,온라인
204,이영철,1981-07-10,여,031-224-5926,iyeongsun@yu.org,인천광역시 남동구 구월동 88-10,hgang,2023-05-23,일반,준중형 세단,G70 (IK),2023-03-20,"45,860,000",현금,5,오프라인
205,서지원,1973-05-11,여,051-659-0158,gohyeonu@yuhanhoesa.com,전라남도 목포시 부주동 77-8,munjungsu,2023-06-29,vip,대형 suv,G80 (RG3),2025-01-22,"67,010,000",계좌이체,5,오프라인
206,조선영,1981-02-27,여,032-086-3570,gimeunseo@live.com,서울특별시 종로구 청운동 67-89,sanghyeongo,2024-08-10,vip,픽업트럭,G70 (IK),2024-11-21,"61,290,000",계좌이체,2,오프라인
207,권영자,1968-01-07,여,017-445-8406,fi@yu.org,경기도 수원시 영통구 원천동 12-34,jaehyeon94,2024-04-20,이탈가능,소형 해치백,G80 (RG3),2024-07-18,"83,280,000",현금,2,온라인
208,정은지,1980-02-11,남,051-326-9405,ji@nate.com,충청북도 청주시 상당구 낙실동 9-1,igim,2023-07-18,이탈가능,준중형 세단,Santa-Fe ™,2025-01-16,"43,090,000",신용카드,3,온라인
209,이경희,1968-09-13,남,019-031-6622,doyun69@gweonhwangseo.kr,경상남도 창원시 의창구 봉곡동 48-6,ogjabag,2022-06-14,일반,소형 해치백,G70 (IK),2023-11-25,"59,280,000",현금,3,오프라인
210,문승민,1970-05-23,여,054-470-5932,seojungim@ii.net,전라북도 전주시 완산구 덕진동 33-7,hi,2025-01-10,일반,픽업트럭,Santa-Fe ™,2024-07-19,"57,930,000",현금,4,오프라인
211,서서윤,2002-06-10,여,032-125-4223,ogsun81@yuhanhoesa.net,광주광역시 서구 치평동 14-7,hyeonju95,2023-02-18,일반,준중형 세단,Avante (CN7 N),2024-02-12,"53,260,000",현금,5,온라인
212,지현우,1997-12-18,남,063-702-1782,cunja82@yuhanhoesa.com,대구광역시 수성구 범어동 55-3,ibyeongceol,2022-10-04,신규,소형 해치백,G70 (IK),2025-01-13,"56,610,000",계좌이체,3,오프라인
213,김현주,1979-05-16,남,042-601-1611,sanghungweon@seoanbaeg.kr,전라북도 전주시 완산구 덕진동 33-7,haeungim,2024-11-14,신규,중형 suv,NEXO (FE),2023-08-25,"53,180,000",신용카드,4,오프라인
214,박성수,1996-12-02,남,019-068-2325,seonghuni@nate.com,부산광역시 해운대구 우동 101-12,gimyujin,2022-10-19,일반,소형 해치백,Santa-Fe ™,2024-12-09,"43,840,000",현금,5,오프라인
215,이진호,1998-07-17,여,02-8350-5965,eunjeong74@ihongbag.com,서울특별시 강남구 역삼동 123-45,gimsangceol,2022-12-15,신규,준중형 세단,G70 (IK),2023-07-06,"65,040,000",현금,3,온라인
216,김영순,1978-06-28,여,018-144-0592,yeweonyu@live.com,충청북도 청주시 상당구 낙실동 9-1,nha,2023-03-13,신규,대형 suv,NEXO (FE),2024-01-13,"83,610,000",현금,2,오프라인
217,류민수,1958-07-06,여,042-329-9343,vgim@hanji.org,충청북도 청주시 상당구 낙실동 9-1,ui,2022-10-26,신규,대형 suv,NEXO (FE),2023-08-04,"39,010,000",계좌이체,5,온라인
218,장정훈,1996-01-21,남,018-700-2342,iujin@ju.com,광주광역시 서구 치평동 14-7,xgim,2023-10-21,이탈가능,소형 해치백,G80 (RG3),2024-01-24,"84,030,000",계좌이체,1,온라인
219,정현지,1955-05-03,남,011-547-0199,jeongsu64@ju.kr,광주광역시 서구 치평동 14-7,hyeonsug49,2025-02-23,신규,준중형 세단,Avante (CN7 N),2024-10-10,"84,930,000",계좌이체,1,오프라인
220,류영희,1973-07-04,여,054-653-1887,minjae88@gimi.org,경기도 성남시 분당구 정자동 56-78,fgim,2022-12-25,이탈가능,소형 해치백,G80 (RG3),2024-07-22,"87,610,000",현금,2,오프라인
221,김서현,1982-08-12,남,070-2225-9369,gimjunseo@jusighoesa.com,전라북도 전주시 완산구 덕진동 33-7,boramo,2023-10-08,일반,중형 suv,Avante (CN7 N),2024-01-06,"35,370,000",신용카드,1,오프라인
222,김상철,1974-04-23,남,042-041-3141,xgim@hanmail.net,인천광역시 남동구 구월동 88-10,yangseoyeong,2024-01-19,일반,준중형 세단,G70 (IK),2024-10-17,"39,170,000",현금,3,온라인
223,김동현,1992-03-13,남,070-5521-8455,gyeongsuggim@hanmail.net,서울특별시 종로구 청운동 67-89,pgim,2024-11-28,일반,준대형 세단,NEXO (FE),2023-08-04,"42,950,000",현금,3,온라인
224,안선영,1961-10-15,남,017-590-7839,haeunnam@naver.com,부산광역시 해운대구 우동 101-12,ii,2022-03-19,일반,픽업트럭,Avante (CN7 N),2024-01-21,"32,870,000",현금,1,오프라인
225,김명숙,2001-11-13,여,011-811-5410,gwangsucoe@jusighoesa.kr,경기도 수원시 영통구 원천동 12-34,vi,2022-08-03,이탈가능,소형 해치백,NEXO (FE),2025-02-10,"62,260,000",신용카드,3,온라인
226,이은정,1985-04-01,여,043-660-2321,yangseoyeong@daum.net,서울특별시 종로구 청운동 67-89,bagseungmin,2023-07-17,신규,준중형 세단,Santa-Fe ™,2024-06-21,"88,940,000",계좌이체,5,오프라인
227,이지영,1978-03-06,여,042-966-5944,donghyeoni@jusighoesa.kr,전라북도 전주시 완산구 덕진동 33-7,yujingim,2023-12-20,vip,준대형 세단,G80 (RG3),2023-07-05,"68,400,000",현금,1,온라인
228,이진우,1969-10-25,여,032-874-1296,honggyeongsu@gmail.com,경기도 성남시 분당구 정자동 56-78,jojaeho,2023-08-20,vip,중형 suv,NEXO (FE),2024-03-29,"45,780,000",계좌이체,1,오프라인
229,오서연,1995-07-07,여,032-366-4016,ojeonghun@yu.com,경기도 수원시 영통구 원천동 12-34,caeweon59,2022-10-24,일반,픽업트럭,Avante (CN7 N),2023-06-09,"32,920,000",신용카드,1,온라인
230,김정희,1997-10-12,여,019-311-5666,hanjeongung@ju.com,충청북도 청주시 상당구 낙실동 9-1,wi,2023-05-04,신규,준중형 세단,G70 (IK),2024-12-03,"86,690,000",신용카드,3,온라인
231,이지혜,2003-05-26,여,051-856-0687,ijinho@gmail.com,전라북도 전주시 완산구 덕진동 33-7,ecoe,2023-12-25,일반,픽업트럭,G70 (IK),2024-07-22,"84,800,000",현금,3,온라인
232,윤성훈,1955-06-23,여,052-366-0874,jjo@gmail.com,경기도 수원시 영통구 원천동 12-34,gimjeongsug,2023-06-26,일반,대형 suv,G80 (RG3),2023-03-25,"83,330,000",계좌이체,1,온라인
233,김서연,1961-05-28,남,019-466-0745,yi@gmail.com,광주광역시 서구 치평동 14-7,dohyeonbae,2024-06-22,일반,준중형 세단,G70 (IK),2023-08-27,"55,580,000",신용카드,5,오프라인
234,손지후,1959-04-27,여,053-528-3443,qyun@hanmail.net,경기도 수원시 영통구 원천동 12-34,seongjinbae,2022-08-15,일반,소형 해치백,Avante (CN7 N),2025-02-10,"54,060,000",현금,2,온라인
235,전정수,2002-07-01,여,043-736-9120,yeongsuggim@live.com,경기도 성남시 분당구 정자동 56-78,byeongceol79,2025-03-07,이탈가능,중형 suv,NEXO (FE),2024-01-16,"62,760,000",신용카드,2,오프라인
236,구주원,1963-09-08,여,061-310-8327,gimyeeun@hanmail.net,충청북도 청주시 상당구 낙실동 9-1,lgweon,2024-02-27,신규,준대형 세단,G70 (IK),2024-12-26,"67,440,000",계좌이체,5,온라인
237,박영호,1995-01-09,남,042-918-1515,seojun75@hotmail.com,경기도 수원시 영통구 원천동 12-34,gwangsu15,2024-04-20,일반,픽업트럭,NEXO (FE),2023-06-11,"44,780,000",현금,4,오프라인
238,박현정,1977-03-28,남,010-3801-5326,siusin@najeonggim.kr,서울특별시 종로구 청운동 67-89,jeongjaryu,2023-06-24,vip,소형 해치백,NEXO (FE),2024-07-21,"46,850,000",계좌이체,1,오프라인
239,이유진,2001-09-01,여,055-054-3726,sangho57@yuhanhoesa.kr,울산광역시 남구 달동 23-5,doyungim,2024-08-09,신규,소형 해치백,Santa-Fe ™,2025-03-07,"50,720,000",현금,5,오프라인
240,한순옥,1967-09-01,여,053-765-5303,seongjin46@daum.net,경상북도 포항시 남구 대도동 19-2,migyeong21,2022-08-25,일반,대형 suv,Santa-Fe ™,2024-03-02,"42,510,000",신용카드,4,오프라인
241,이성수,1996-02-04,남,063-175-2716,minjinam@live.com,부산광역시 해운대구 우동 101-12,jiweon44,2023-10-08,일반,대형 suv,Avante (CN7 N),2025-02-01,"36,500,000",현금,5,온라인
242,박민수,1982-08-24,여,032-655-9227,xgim@nate.com,서울특별시 강남구 역삼동 123-45,gyeonghyi14,2024-10-11,이탈가능,소형 해치백,G80 (RG3),2024-02-09,"88,690,000",현금,4,온라인
243,노지훈,1974-10-12,여,061-910-6439,misug04@hotmail.com,경기도 성남시 분당구 정자동 56-78,sujin21,2023-03-30,vip,픽업트럭,NEXO (FE),2023-08-07,"33,070,000",신용카드,3,오프라인
244,권민서,1963-12-17,남,017-025-2354,gimjunseo@hanmail.net,울산광역시 남구 달동 23-5,dim,2022-12-06,일반,준대형 세단,G70 (IK),2025-01-01,"84,160,000",현금,1,온라인
